job_title,ai_impact,task,ai_model,domain
Communications Manager,0.98,365.00,2546.00,Communication & PR
Data Collector,0.95,299.00,2148.00,Data & IT
Data Entry,0.95,325.00,2278.00,Administrative & Clerical
Mail Clerk,0.95,193.00,1366.00,Leadership & Strategy
Compliance Officer,0.92,194.00,1369.00,Medical & Healthcare
Chief Executive Officer (CEO),0.91,153.00,1135.00,Supply Chain & Logistics
Therapist,0.90,114.00,983.00,Law Enforcement
Chief Strategy Officer,0.90,184.00,1284.00,Construction
Admin,0.90,253.00,2014.00,Sales & Marketing
General Clerk,0.90,242.00,1903.00,Hospitality
Mail Handler,0.90,188.00,1350.00,Communication & PR
Data Clerk,0.90,317.00,2258.00,Data & IT
Data Entry Clerk,0.90,328.00,2305.00,Administrative & Clerical
Data Entry Operator,0.90,329.00,2311.00,Leadership & Strategy
Data Entry Specialist,0.90,334.00,2358.00,Medical & Healthcare
Medical Transcriptionist,0.90,189.00,1265.00,Supply Chain & Logistics
Street Sweeper,0.90,3.00,82.00,Law Enforcement
Supply Clerk,0.90,115.00,901.00,Construction
Warehouse Worker,0.90,68.00,607.00,Sales & Marketing
Web Search Evaluator,0.90,243.00,1599.00,Hospitality
Development Manager,0.89,217.00,1558.00,Communication & PR
Delivery Driver,0.88,20.00,309.00,Data & IT
Chief Security Officer,0.88,142.00,1116.00,Administrative & Clerical
File Clerk,0.88,228.00,1797.00,Leadership & Strategy
Mail Processing,0.88,189.00,1336.00,Medical & Healthcare
Director Of Operations,0.87,198.00,1397.00,Supply Chain & Logistics
Direct Support Professional,0.86,117.00,1018.00,Law Enforcement
Chief Communications Officer,0.85,284.00,2118.00,Construction
Administrative Clerk,0.85,270.00,2070.00,Sales & Marketing
Executive Assistant,0.85,276.00,2112.00,Hospitality
General Office Clerk,0.85,245.00,1912.00,Communication & PR
Transcriber,0.85,205.00,1359.00,Data & IT
Sql Programmer,0.85,179.00,1665.00,Administrative & Clerical
Vba Developer,0.85,191.00,1672.00,Leadership & Strategy
Medical Scribe,0.85,202.00,1696.00,Medical & Healthcare
Special Agent,0.85,45.00,462.00,Supply Chain & Logistics
Purchasing Clerk,0.85,180.00,1306.00,Law Enforcement
Bricklayer,0.85,3.00,30.00,Construction
Telemarketer,0.85,179.00,1281.00,Sales & Marketing
Bakery Manager,0.84,97.00,804.00,Hospitality
Banquet Manager,0.83,99.00,802.00,Communication & PR
Clerk Typist,0.83,263.00,1986.00,Data & IT
Assistant,0.82,240.00,1600.00,Administrative & Clerical
Business Relationship Manager,0.82,194.00,1467.00,Leadership & Strategy
Distribution Manager,0.80,198.00,1436.00,Medical & Healthcare
Administrative Assistant,0.80,286.00,2155.00,Supply Chain & Logistics
Administrative Secretary,0.80,268.00,2076.00,Law Enforcement
Clerical Assistant,0.80,265.00,2004.00,Construction
Executive Administrative Assistant,0.80,279.00,2124.00,Sales & Marketing
